shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,detectedFamily,explanation,correct,correctCategory,reviewerComment
ЗЧМ-00505,Ремкомплект регулятора тормозов 2141,tormoznaya-sistema,ruchnoy-tormoz,0.84,BLOCKED_CONFLICT,parking_brake_cables|other|тормоз|tormoznaya-sistema|ruchnoy-tormoz,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-01211,Накладка на воздухозаборник 2110 (краш.),kuzov-i-optika,kuzovnye-detali,0.84,BLOCKED_CONFLICT,body_air_intakes|other|воздухозаборник|kuzov-i-optika|kuzovnye-detali,other,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
А-02154,"Накидка на сиденье с функцией подогрева AVS HC-175,180",aksessuary,chehly,0.84,BLOCKED_CONFLICT,seat_covers|seat_parts|накидка|aksessuary|chehly,seat_parts,"Несколько категорий получили близкие оценки, требуется ручная проверка.",,,
К-00045,Пробка коробки ВАЗ и пробка поддона ВАЗ,dvigatel-i-transmissiya,detali-dvigatelya,0.792,BLOCKED_CONFLICT,oil_pan_plugs|caps_plugs|пробка-поддона|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00817,Ремни безопасности 2101-07 (2 шт),dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-01627,Ремни безопасности перед. 1118,dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00035,Ремни безопасности (неинерционные),dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
А-00963,"Ремни безопасности пер. 2108-014, 2110",dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
КР-00413,Ремни безопасности 2110,dvigatel-i-transmissiya,remni,0.78,BLOCKED_CONFLICT,belt|other|ремни|dvigatel-i-transmissiya|remni,other,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00909,"Болт диодного моста 03,06,08,09,2121 в сборе",dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00910,"Болт диодного моста 04,05-07 в сборе",dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00911,Болт диодного моста 2110 в сборе,dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
К-00912,Болт диодного моста 1118 Калина в сборе,dvigatel-i-transmissiya,detali-transmissii,0.742,BLOCKED_CONFLICT,transmission_hardware|bolts|мост|dvigatel-i-transmissiya|detali-transmissii,bolts,Найдены отрицательные признаки для лучшего кандидата.,,,
КГ-00531,Кронштейн колпаков Газель (Каминс),aksessuary,shiny-i-diski,0.742,BLOCKED_CONFLICT,wheel_caps|other|колпак|aksessuary|shiny-i-diski,other,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00698,Заглушка блок-фар Гранта 2190,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
А-01445,"""Такси"" диодн. (на стекло)",elektrika,osveshchenie,0.742,BLOCKED_CONFLICT,auxiliary_lighting|other|такси|elektrika|osveshchenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00499,Заглушка блок-фары Калина,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00500,Заглушка блок-фары 2110,dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
О-00699,Заглушка блок-фар Приора 2170 (мал.),dvigatel-i-transmissiya,detali-dvigatelya,0.742,BLOCKED_CONFLICT,engine_fasteners|caps_plugs|заглушка|dvigatel-i-transmissiya|detali-dvigatelya,caps_plugs,Найдены отрицательные признаки для лучшего кандидата.,,,
ДВ-00186,Диффузор салона 2105,dvigatel-i-transmissiya,ohlazhdenie,0.74,BLOCKED_CONFLICT,cooling|other|диффузор|dvigatel-i-transmissiya|ohlazhdenie,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ХС-00104,Крестовина руля,dvigatel-i-transmissiya,detali-transmissii,0.64,BLOCKED_CONFLICT,universal_joint_crosses|other|крестовина|dvigatel-i-transmissiya|detali-transmissii,other,Найдены отрицательные признаки для лучшего кандидата.,,,
ОК-00061,Прижим приемной трубы,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00223,Подкладки под крючок 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01223,Трубка КАМАЗ-ЕВРО компрес. (медная) 1-ц,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
Г-00158,Флянец приемной трубы Бычок,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00044,Шланг воздушный прицепа в сборе,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
К-00679,Рем. набор крепления воздушного фланца (с,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КГ-00800,Палец М10-35 педали тормоза 3502.260088,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00046,Блок переключения печки в сборе Гранта,,,0,MANUAL_REVIEW,no_match|heater_parts|heater-parts,heater_parts,Категория и подкатегория не определены правилами.,,,
ОК-00015,Пыльник внутренний,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00085,Кнопки ручек дв. УАЗ-469 ЛЮКС (2 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00077,Стопор замка 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-00833,Главная пара дифференциала ГАЗ-31105 н/о,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-00704,Тяга продольная Валдай (короткая),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00008,Корпус печки 2101-2105,,,0,MANUAL_REVIEW,no_match|heater_parts|heater-parts,heater_parts,Категория и подкатегория не определены правилами.,,,
Г-00583,Фланец трубы приёмной КАМАЗ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
А-00419,Реснички боковых стекол 2106,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00433,Шланг бензин. 2110,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ИН-01449,AMD.SEN25 Регулятор холостого хода MATIZ,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
О-00696,ВАЗ 2111 стекло з.д.о прав.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Р-00023,Пыльник торсиона ЗАЗ (за 1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00246,Вал промежуточный ВАЗ 21213 в сб. (GL.CE.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01048,Втулка передней подвески МАЗ-6430 н. обр,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
А-01132,Переходник USB (AVS ST-04),,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
А-01667,"Ответная часть ремня Газель, 1 шт",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00413,Вставка нейтрализ.21074 Евро-3,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
Г-00516,Патрубок выпускной КАМАЗ-ЕВРО №54115,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
Г-00632,Вставка нейтрализ. Евро-3 21074,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ДВ-00741,Кронштейн прав. опоры двиг. (дв.ВАЗ 8 кл.) Лада Ларгус 845051870,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ЗЧМ-00530,Набор крышки бардачка 2141,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00340,Гайка М 6 крышки клап. 2108,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
К-00470,Скоба крышки бака 2101-07,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00534,"Болт М12*118*1,25 с фланцем балки VESTA",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
К-00695,Болт М12*110 подвески 2121,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00260,Болт М8Х25*1.25мм поддона пер. крышки 406,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00322,"Болт верх. механизма натяж. ремня, топлив",,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00331,Соединитель шлангов переходной 8х10,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00344,Болт М16*100*1.5 лебедки К-4310 кр-на дв-,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00368,Болт М14*45*1.5 кр-на мех-ма уравновеш. к,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00396,Гайка М13*1.25 шатунная болта нов. обр.,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-00467,Соединитель шлангов переходной 10х12,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00478,Шпилька М27*86*1.5 крепления кр-на баланс,,,0,MANUAL_REVIEW,no_match|studs|studs,studs,Категория и подкатегория не определены правилами.,,,
КГ-00492,Гайка М42х1.5 вала 110 (шестерни 13зуб),,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-00611,Соединитель шлангов 27х27,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00674,Соединитель шлангов д.12х12,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00675,Соединитель шлангов метал 14х14,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00676,Соединитель шлангов д.24х27,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-00756,Гайка М10*1 омедн. коромысла КАМАЗ,,,0,MANUAL_REVIEW,no_match|nuts|nuts,nuts,Категория и подкатегория не определены правилами.,,,
КГ-00792,Соединитель шлангов переходной 12х14,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01056,Соединитель шлангов 14х20,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01057,Соединитель шлангов 16х20,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01058,Соединитель шлангов 20х24,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01059,Соединитель шлангов 20х27,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01060,Соединитель шлангов 22х27,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01072,Тройник М8 латунный,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01073,Соединитель шлангов переходной 14х16,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01074,Соединитель шлангов переходной 6х8,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01112,Болт-штуцер трубок обратки Бычок,,,0,MANUAL_REVIEW,no_match|bolts|bolts,bolts,Категория и подкатегория не определены правилами.,,,
КГ-01139,Соединитель прямой металл ф-38,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01140,Соединитель прямой металл Ф-42,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01141,Соединитель прямой металл ф-45,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01142,Соединитель прямой металл ф-50,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01373,Фитинг метал. переходной угловой д.6,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01374,Фитинг метал. переходной угловой д.8,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01375,Фитинг метал. переходной угловой д.10,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01376,Фитинг метал. переходной угловой д.12,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КГ-01379,Соединитель шлангов 18х24,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
КР-00139,Упор замка 2108 (эластичн.),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00401,Запор вещевого ящика 2108,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
О-00701,Заглушка фар Приора 2170 (пластмасса),,,0,MANUAL_REVIEW,no_match|caps_plugs|caps-plugs,caps_plugs,Категория и подкатегория не определены правилами.,,,
О-00768,LADA Vesta Стекло пер. дв. опускное лев./п,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ОК-00094,Механизм замка внутренний правый,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ОК-00107,Ремкомплект растяжки,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ОК-00153,Хомут шарнира малый,,,0,MANUAL_REVIEW,no_match|clamps|clamps,clamps,Категория и подкатегория не определены правилами.,,,
ОК-00186,Шланг вентиляции картера нижний,,,0,MANUAL_REVIEW,no_match|hoses|hoses,hoses,Категория и подкатегория не определены правилами.,,,
ПСГ-00166,Проставка головки Волга,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00024,Сектор газа К-151С,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00079,Сектор газа К-151,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00132,Соединитель шлангов прямой 3х3 №1462,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00136,Соединитель шлангов прямой 5х5 №924,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00141,Соединитель шлангов прямой 4х6 №923,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00148,Соединитель шлангов прямой 7х7 №1756,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00155,Соединитель шлангов прямой 6х6 №1058,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00163,Соединитель шлангов прямой 6х6 №796,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00182,Соединитель шлангов прямой 6х5 №1076,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00186,Соединитель шлангов прямой 6х5 №925,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00199,Соединитель шлангов прямой 8х4 №2113,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00325,Соединитель шлангов прямой 8х6 №2114,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00330,Соединитель шлангов прямой 8х8 №723,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00331,Соединитель шлангов прямой 8х8 №1059,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00332,Соединитель шлангов прямой 10х6 №2116,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00333,Соединитель шлангов прямой 10х10 №1055,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00334,Соединитель шлангов прямой 10х14 №2117,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00335,Соединитель шлангов прямой 10х16 №1474,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00336,Соединитель шлангов прямой 12х12 №1054,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00337,Соединитель шлангов прямой 14х14 №1053,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00338,Соединитель шлангов прямой 16х16 №1998,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00339,Соединитель шлангов прямой 16х14 №1997,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00340,Соединитель шлангов прямой 18х14 №1994,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00341,Соединитель шлангов прямой 18х18 №1473,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00342,Соединитель шлангов прямой 20х16 №1982,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00343,Соединитель шлангов прямой 20х14 №1981,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00344,Соединитель шлангов прямой 20х18 №1971,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00345,Соединитель шлангов прямой 22х22 №1978,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00346,Соединитель шлангов прямой25х20 №1976,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00347,Соединитель шлангов прямой 25х25 №1975,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00348,Соединитель шлангов прямой32х32,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00349,Соединитель шлангов прямой 9х9 №1075,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РГ-00413,Сектор газа подсоса К-151,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РГ-00443,Соединитель шлангов прямой 25х22 № 1977,,,0,MANUAL_REVIEW,no_match|fittings|fittings,fittings,Категория и подкатегория не определены правилами.,,,
РДГ-00096,Ручки форточек Зил-Бычок (1 шт),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00218,Петля борта Газель-Тент,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00241,Ручка запора борта Г-3302 резиновая,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00273,"Механизм замка дв. Г-2705, 3302 Б+ прав. н/о Чехия",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
РДГ-00275,Защёлка раздвиж. окна Газель 2705,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00185,Балка задняя 2101-07,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00187,Пыльник переднего колеса 2108 пустой,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00386,Балка передняя 2112 16 клап.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХС-00460,Тяги реактивные 2101-07 (усиленные),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-00301,Кольцо уплот. резьбов. втулок ГАЗ-24,,,0,MANUAL_REVIEW,no_match|rings|rings,rings,Категория и подкатегория не определены правилами.,,,
ХСГ-00964,Штанга передней подвески Хантер,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01108,Пыльник КАМАЗ башмака балансира уплотнит,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01282,"Корпус КАМАЗ-ЕВРО-2,3 подшип. переднего",,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
К-00486,Рем.к-т приемной трубы 2112 с катализат.,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
КР-00100,Замок внутренний 2105 (механизм),,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ХСГ-01102,Втулка центрир. КАМАЗ-ЕВРО прив.ТНВД,,,0,MANUAL_REVIEW,no_match|bushings|bushings,bushings,Категория и подкатегория не определены правилами.,,,
ИН-00517,Трубки медные д.5 для иномарок 50 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00518,Трубки медные д.5 для иномарок 75 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00519,Трубки медные д.5 для иномарок 100 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00520,Трубки медные д.5 для иномарок 125 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00521,Трубки медные д.5 для иномарок 150 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00522,Трубки медные д.5 для иномарок 175 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
ИН-00523,Трубки медные д.5 для иномарок 200 см,,,0,MANUAL_REVIEW,no_match|other|other,other,Категория и подкатегория не определены правилами.,,,
