family,residualCount,activeAnalogCount,topActiveTargets,residualExamples
other,1097,0,,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00369 Люк | А-00370 Скоба д.16 | А-00404 Собака (очень большая) | А-00419 Реснички боковых стекол 2106 | А-00502 Брелок"
bolts,312,407,aksessuary/shiny-i-diski:71 | dvigatel-i-transmissiya/detali-dvigatelya:68 | dvigatel-i-transmissiya/detali-transmissii:30 | podveska/ressory:21 | kuzov-i-optika/kuzovnye-detali:15 | dvigatel-i-transmissiya/kpp:14 | elektrika/generatory:13 | tormoznaya-sistema/prochaya-tormoznaya-sistema:12,ЗЧМ-00361 Болт балки Москвич (к-т 4 шт.) | ЗЧМ-00416 Болт развала 2141 | ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00151 Болт М 5 малый крест | К-00193 Болт развала 2108 | К-00341 Болт салазки сиденья 2110 | К-00625 Набор реактивных болтов 2101-07 | КГ-00076 Болт крепления чашек ГАЗ
fittings,237,272,tormoznaya-sistema/prochaya-tormoznaya-sistema:107 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/kpp:21 | filtry-i-masla/maslyanye-filtry:19 | kuzov-i-optika/kuzovnye-detali:16 | dvigatel-i-transmissiya/ohlazhdenie:12 | aksessuary/prochie-aksessuary:10 | dvigatel-i-transmissiya/detali-dvigatelya:9,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141 | КГ-00225 Штуцер Зил-Бычок № 300503 | КГ-00519 Штуцер с резьбой д.10 длинный | КГ-00867 Штуцер под шланги 22х12
nuts,89,111,aksessuary/shiny-i-diski:20 | podveska/stupicy:20 | podveska/rulevye-nakonechniki:19 | dvigatel-i-transmissiya/detali-transmissii:10 | podveska/ressory:7 | dvigatel-i-transmissiya/sceplenie:4 | podveska/podshipniki:4 | dvigatel-i-transmissiya/detali-dvigatelya:3,"К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"" | ЗЧМ-00076 Гайка М 8 мелкая резьба шаг 1 | ЗЧМ-00342 Гайка трамблера 2141 | ИН-01053 104 456 785 Гайка VAG М16х1 | К-00004 Гайка. М 6 самоконтрящая ВАЗ | К-00005 Гайка. М 8 самоконтрящая ВАЗ"
washers,76,110,podveska/stupicy:18 | dvigatel-i-transmissiya/detali-dvigatelya:16 | dvigatel-i-transmissiya/kpp:15 | filtry-i-masla/masla:9 | podveska/prochaya-podveska:8 | podveska/rychagi:6 | dvigatel-i-transmissiya/detali-transmissii:5 | podveska/ressory:5,ОК-00222 Шайба упорная передняя растяжки | ЗЧМ-00093 Шайба регулировки развала 2141 | ИН-00349 Шайба крепежная Дэу 94525222 | К-00009 Шайба. М 8 | К-00011 Шайба. М 6 диам. поддона ВАЗ 01-08 | К-00012 Шайба М 6 д. | К-00023 Шайба М 8 д. постели ВАЗ 01-07 | К-00025 Шайба М 10 д.
rings,49,229,dvigatel-i-transmissiya/detali-dvigatelya:100 | dvigatel-i-transmissiya/detali-transmissii:29 | dvigatel-i-transmissiya/kpp:21 | podveska/stupicy:13 | dvigatel-i-transmissiya/nasosy:7 | podveska/podshipniki:6 | tormoznaya-sistema/cilindry:6 | dvigatel-i-transmissiya/ohlazhdenie:5,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125 | РГ-00241 Кольцо д. 83 | РГ-00415 Кольцо резиновое д. 142х148 | РГ-00441 Кольца манжеты
caps_plugs,42,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | О-00698 Заглушка блок-фар Гранта 2190 | А-00460 Заглушка бокса 2107 нижняя | А-00473 Заглушка противотуманок ВАЗ 2110 (2 шт) | А-00689 Заглушка радиобокса 2107 | А-01561 Заглушка-удлинитель ремня
studs,40,64,aksessuary/shiny-i-diski:17 | dvigatel-i-transmissiya/detali-dvigatelya:15 | dvigatel-i-transmissiya/kpp:8 | dvigatel-i-transmissiya/toplivnaya-sistema:6 | podveska/stupicy:5 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/detali-transmissii:2 | dvigatel-i-transmissiya/nasosy:2,КГ-00602 Шпилька креп. паука ЗИЛ-130 длин./коротк. | ХСГ-00417 Шпилька с гайкой ЗАЗ (за 1 шт) | ЗЧМ-00615 Шпилька М6Х55 АЗЛК 2140 | ИН-01527 MLS-199 Шпилька для грузовика | ИН-01581 MLS-236 Шпилька NISSAN OEM 43222-50J00 | ИН-01610 07846696 Шпилька NEXIA регулиров. М16х1.5х98.5 | К-00038 Шпилька ремонтная 5 на 6 | К-00264 Шпилька трамблера 2108
clamps,34,106,dvigatel-i-transmissiya/vyhlopnaya-sistema:34 | podveska/pruzhiny:20 | dvigatel-i-transmissiya/detali-transmissii:15 | aksessuary/instrumenty:7 | kuzov-i-optika/kuzovnye-detali:7 | dvigatel-i-transmissiya/ohlazhdenie:4 | podveska/rulevye-nakonechniki:4 | dvigatel-i-transmissiya/toplivnaya-sistema:3,"К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00187 Хомуты | К-00188 Хомуты | К-00618 Хомут норма 60*80, 70*90, 80*100 | К-00619 Хомут норма 90*110 | К-00718 Хомут 8/12 (ДИА-ЛУЧ) | К-00719 Хомут 40/60 (ДИА-ЛУЧ)"
screws,34,4,aksessuary/instrumenty:2 | kuzov-i-optika/bampery:1 | kuzov-i-optika/podkrylki-i-bryzgoviki:1,К-00052 Скоба самореза малая | К-00054 Саморезы Н-2093 | К-00078 Саморезы SK-0985 | К-00102 Саморезы SK-0986 | К-00113 Саморезы SK-5263 | К-00127 Саморезы SK-0992 | К-00146 Саморез длинный | К-00148 Саморезы SK-0991
heater_parts,27,277,dvigatel-i-transmissiya/ohlazhdenie:105 | elektrika/prochaya-elektrika:101 | kuzov-i-optika/kuzovnye-detali:26 | aksessuary/instrumenty:18 | dvigatel-i-transmissiya/detali-dvigatelya:11 | dvigatel-i-transmissiya/prokladki:3 | dvigatel-i-transmissiya/kpp:2 | dvigatel-i-transmissiya/nasosy:2,ДВ-00008 Корпус печки 2101-2105 | ЗЧМ-00528 Кран печки Москвич 2140 | ИН-00625 Сопротивление печки Рено (завод) | КР-00414 Печка в сборе 2110 | РГ-00321 Рем. к-т печки Газель | А-00730 Отвод печки 2105 (2 шт) | ДВ-00175 Кран печки 2108 (Керамика) | ДВ-00219 Мотор печки 2108 в сборе
hoses,27,982,dvigatel-i-transmissiya/detali-dvigatelya:351 | tormoznaya-sistema/prochaya-tormoznaya-sistema:153 | dvigatel-i-transmissiya/ohlazhdenie:125 | aksessuary/instrumenty:111 | kuzov-i-optika/kuzovnye-detali:55 | dvigatel-i-transmissiya/sceplenie:39 | podveska/ressory:36 | dvigatel-i-transmissiya/nasosy:30,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00433 Шланг бензин. 2110 | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый
bushings,13,129,podveska/prochaya-podveska:32 | dvigatel-i-transmissiya/detali-dvigatelya:18 | podveska/amortizatory:14 | dvigatel-i-transmissiya/detali-transmissii:11 | podveska/ressory:8 | dvigatel-i-transmissiya/kpp:6 | podveska/rychagi:6 | dvigatel-i-transmissiya/sceplenie:5,ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера | ЗЧМ-00065 Втулка маятника Москвич | ЗЧМ-00572 Втулка маятника Москвич (силикон) | К-00137 Втулка реактивных тяг ВАЗ
ventilation,13,117,dvigatel-i-transmissiya/detali-dvigatelya:61 | elektrika/prochaya-elektrika:26 | aksessuary/instrumenty:6 | dvigatel-i-transmissiya/remni:6 | dvigatel-i-transmissiya/ohlazhdenie:4 | elektrika/datchiki:4 | elektrika/provodka:3 | kuzov-i-optika/kuzovnye-detali:2,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В | А-00615 Вентилятор (Россия) | А-01102 Вентилятор автомобил. JT Comfort 9041J 12В 5"" | А-02339 Вентилятор двойной JT Comfort 8062J 12В"
body_clips,11,39,kuzov-i-optika/kuzovnye-detali:23 | aksessuary/instrumenty:4 | aksessuary/prochie-aksessuary:3 | kuzov-i-optika/podkrylki-i-bryzgoviki:3 | kuzov-i-optika/bampery:2 | kuzov-i-optika/moldingi:2 | tormoznaya-sistema/prochaya-tormoznaya-sistema:2,"К-00611 Набор пистонов ВАЗ-Калина 1118 | К-00189 Пистоны | К-00222 Пистоны | К-00355 Пистоны потолка 2110 | К-00610 Набор пистонов ВАЗ-2113, 2114, 2115 | К-00612 Набор пистонов Шеви Нива 2123 | К-00631 Пистоны универсал | К-00682 Пистоны для иномарок (за 1 шт)"
conditioner_parts,9,40,filtry-i-masla/zhidkosti:12 | dvigatel-i-transmissiya/ohlazhdenie:8 | dvigatel-i-transmissiya/remni:7 | elektrika/generatory:3 | podveska/podshipniki:3 | dvigatel-i-transmissiya/detali-dvigatelya:2 | elektrika/prochaya-elektrika:2 | dvigatel-i-transmissiya/kpp:1,ДВ-00637 Трубки кондиционера до 2015 г. (к-т) 2190 | ДВ-00638 Трубки кондиционера Приора 2170 (к-т) | ДВ-00639 Трубки кондиционера Калина ст. обр. (к-т) | ДВ-00640 Трубки кондиционера Нива Урбан (к-т) | ДВ-00641 Трубки кондиционера Нива 2123 ст. обр. (к | ДВ-00642 Трубки кондиционера Шеви Нива 2123 н. обр | ДВ-00645 К-т трубок кондиционера Калина после 2015 | ДВ-00685 Комплект трубок кондиционера Веста
seat_parts,9,19,kuzov-i-optika/kuzovnye-detali:8 | elektrika/prochaya-elektrika:5 | aksessuary/chehly:4 | aksessuary/kovriki:1 | aksessuary/prochie-aksessuary:1,"А-02175 Накладки сидений PSV KROCUS (все сидения) | А-01025 ""HR"" К-т накидок на все сиденья ""ROMB PLUS"" | А-02154 Накидка на сиденье с функцией подогрева AVS HC-175,180 | А-02393 Защита спинки сиденья Автобра 5109 | КР-00266 Ремкомплект гребенок сиденья 2101-07 (1 ш | КР-00314 Защелка заднего сиденья 2108 | КР-00318 Облицовка сиденья 2101-07 | КР-00335 Крепление сиденья 2108 (за 2 шт)"
driver_electronics,7,6,elektrika/prochaya-elektrika:6,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01142 Рация MEGA SET 300 | А-01205 Рация ""ALBRECHT"" 4200 | А-01536 Рация MOTOROLLA Т-50"
ignition_distributor,7,63,elektrika/prochaya-elektrika:45 | dvigatel-i-transmissiya/detali-dvigatelya:7 | podveska/podshipniki:4 | dvigatel-i-transmissiya/prokladki:3 | aksessuary/instrumenty:2 | dvigatel-i-transmissiya/kpp:1 | filtry-i-masla/masla:1,ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт) | ИН-00222 Трамблер Дэу-Нексиа | ИН-00971 Трамблёр Дэу Матиз | К-00055 Скоба трамблера ВАЗ 01-07 | К-00129 Уголёк трамблера ВАЗ 01-07 | К-00130 Скоба трамблера ВАЗ 01-07
pins,4,8,podveska/pruzhiny:6 | podveska/rulevye-nakonechniki:1 | tormoznaya-sistema/supporty:1,К-00155 Шплинты малые | КГ-00002 Шплинты ГАЗ | КГ-00049 Шплинты большие ГАЗ | КГ-00755 Шплинты (за 1 шт)
washing_sponges,4,1,filtry-i-masla/zhidkosti:1,"А-00194 Швабра № 613 (с резинкой) | А-00617 Губка ""Доктор ВАКС"" DW8611, 8612R | А-01461 Швабра большая (Польша) | А-01566 Швабра большая № 636"
adhesive_tapes,2,3,filtry-i-masla/zhidkosti:3,"А-01855 ЗМ Скотч профессиональный 30 м | А-02130 Скотч 2-х стор. ""3М"" 20мм"
child_seats,1,0,,А-01910 Кресло бескаркасное
