family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Unique low-frequency items,606,0.3343,unique_singleton_or_no_active_analogs,92,514,зчм-:64 | дв-:50 | кр-:48 | ин-:37 | москвич:34 | к-т:28 | ваз:27 | кг-:24 | нива:17 | avs:13,0,,0,0,606,"А-00004 Вентилятор ALCO | А-00526 Обезьяна на присоске | А-00548 Тюнинг Нива-Тайга | А-00616 Аппликатор ""Доктор ВАКС"" | А-00711 Покрытие пола (линолеум) | А-00894 Рысь (большая) | А-00896 Опора полки 2108 (2 шт) | А-00918 Поросенок (большой)"
Generic fasteners without destination,432,0.2383,name_lacks_destination_context,22,410,кг-:219 | болт:195 | гайка:77 | шпилька:37 | шайба:35 | хомут:30 | винт:17 | дв.:17 | норма:16 | крепления:15,806,aksessuary/shiny-i-diski:105 | dvigatel-i-transmissiya/detali-dvigatelya:103 | dvigatel-i-transmissiya/detali-transmissii:65 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:43 | dvigatel-i-transmissiya/vyhlopnaya-sistema:38 | podveska/ressory:34 | podveska/rulevye-nakonechniki:34,0,0,432,"ЗЧМ-00588 Болт крышки в/очистителя 2141 | К-00001 Гайка м 8 сапуна ВАЗ 01-07 | К-00151 Болт М 5 малый крест | К-00341 Болт салазки сиденья 2110 | К-00620 Хомут норма 170*190 | К-00621 Хомут норма 180*200, 190*210, 200*220, 210 | К-00642 Гайка М3 ""барашек"" | К-00644 Гайка М5 ""барашек"""
Short/code-only names,336,0.1853,technical_insufficient_data,1,335,кг-:57 | зчм-:39 | ок-:29 | болт:27 | шайба:27 | дв-:15 | гровер:9 | саморезы:9 | ин-:8 | гайка:7,0,,0,0,336,А-00369 Люк | А-00370 Скоба д.16 | А-00502 Брелок | А-00511 Перчатки | А-00573 Прожектор | А-00703 Такси | А-00718 Мячик-дезодорант (1 шт) | А-00723 Автопарфюм 7 мл
Ambiguous fittings and connectors,137,0.0756,active_analogs_conflict_or_no_destination,17,120,кг-:116 | штуцер:61 | фитинг:33 | тройник:28 | переходник:22 | внутр.:12 | резьба:12 | резьбой:12 | соединитель:11 | латунный:10,271,tormoznaya-sistema/prochaya-tormoznaya-sistema:106 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/kpp:21 | filtry-i-masla/maslyanye-filtry:19 | kuzov-i-optika/kuzovnye-detali:17 | dvigatel-i-transmissiya/ohlazhdenie:12 | aksessuary/prochie-aksessuary:10 | dvigatel-i-transmissiya/detali-dvigatelya:9,0,0,137,А-01725 Переходник с 220V на USB | Г-00029 Тройник КАМАЗ Евро | ЗЧМ-00062 Тройник патрубков Москвич | ЗЧМ-00109 Тройник головки Москвич | ЗЧМ-00418 Тройник вакуума 2141 | КГ-00225 Штуцер Зил-Бычок № 300503 | КГ-00519 Штуцер с резьбой д.10 длинный | КГ-00867 Штуцер под шланги 22х12
DIN/socket-head fasteners without public target,77,0.0425,no_allowed_target_current_taxonomy,0,77,кг-:64 | шестигранником:62 | внутренним:40 | din:39 | винт:23 | внутр.:22 | м16*:12 | m12*:12 | м20*:11 | m10*:10,39,aksessuary/instrumenty:34 | dvigatel-i-transmissiya/toplivnaya-sistema:2 | dvigatel-i-transmissiya/detali-dvigatelya:1 | dvigatel-i-transmissiya/kpp:1 | elektrika/datchiki:1,0,0,77,КГ-00431 DIN912 M10*11 с внутренним шестигранником | К-00004 Гайка. М 6 самоконтрящая ВАЗ | К-00005 Гайка. М 8 самоконтрящая ВАЗ | К-00019 Гайка М 10 д. шаг 1.25 самоконтр. | К-00020 Гайка М 12 д. шаг 1.25 самоконтр. | К-00229 Гроверные шайбы на 12 | К-00230 Гроверные шайбы на 14 | К-00231 Гроверные шайбы на 10
Small body/interior parts with weak context,60,0.0331,active_analogs_conflict_or_no_destination,5,55,кр-:18 | кронштейн:18 | скоба:14 | ваз:8 | бокс:5 | кг-:5 | нива:5 | планка:5 | люкс:4 | пистонов:4,761,kuzov-i-optika/kuzovnye-detali:177 | dvigatel-i-transmissiya/detali-dvigatelya:59 | kuzov-i-optika/bampery:51 | elektrika/generatory:44 | podveska/ressory:31 | aksessuary/instrumenty:28 | dvigatel-i-transmissiya/sceplenie:28 | podveska/prochaya-podveska:25,0,0,60,А-00726 Бокс 2101-07 Люкс | А-01211 Накладка на воздухозаборник 2110 (краш.) | А-01774 Скоба троса 12 мм | А-01775 Скоба троса 15 мм | К-00065 Скоба личинок 01-07 | К-00375 Скоба троса воздушной заслонки | К-00611 Набор пистонов ВАЗ-Калина 1118 | КР-00140 Кронштейн руля ВАЗ
Rings and seals without destination,39,0.0215,active_analogs_conflict_or_no_destination,0,39,кольцо:34 | кг-:14 | стопорное:12 | ин-:6 | зчм-:5 | кольца:5 | москвич:4 | отв.:4 | рг-:4 | уплотнительное:4,508,dvigatel-i-transmissiya/detali-dvigatelya:296 | podveska/stupicy:49 | dvigatel-i-transmissiya/kpp:45 | dvigatel-i-transmissiya/detali-transmissii:29 | dvigatel-i-transmissiya/nasosy:14 | podveska/podshipniki:9 | aksessuary/avtohimiya:8 | tormoznaya-sistema/cilindry:7,0,0,39,ЗЧМ-00629 Кольцо гильз Москвич 1.7 (к-т 4 шт) | ИН-00288 29752F [N90765301] кольцо уплотнит. сист | ОК-00284 Кольцо грязезащитное внутреннее ОКА | РГ-00207 Кольцо резиновое д. 80 | РГ-00210 Кольцо резиновое д. 125 | РГ-00415 Кольцо резиновое д. 142х148 | РГ-00441 Кольца манжеты | ХСГ-00884 Кольцо регулировки хвостовика Хантер бол
Engine small parts with partial context,36,0.0199,potentially_automatable_future_context_rules,13,23,кг-:14 | втулка:12 | палец:11 | дв-:9 | клапан:5 | ваз:3 | втулки:3 | зчм-:3 | привода:3 | сапуна:3,570,dvigatel-i-transmissiya/detali-dvigatelya:160 | dvigatel-i-transmissiya/prokladki:56 | podveska/prochaya-podveska:49 | aksessuary/instrumenty:46 | tormoznaya-sistema/prochaya-tormoznaya-sistema:26 | podveska/amortizatory:24 | podveska/ressory:23 | dvigatel-i-transmissiya/detali-transmissii:21,0,0,36,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00503 Клапан обратки 2105 | КГ-00746 Палец толкателя ГЦС | ОК-00109 Втулка скобы | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00040 Втулка грибка трамблера
Hoses and tubes without system,33,0.0182,name_lacks_destination_context,33,0,дв-:15 | трубка:10 | трубки:10 | к-т:6 | кондиционера:6 | патрубок:6 | завод:3 | инжектор:3 | кг-:3 | нива:3,1247,dvigatel-i-transmissiya/detali-dvigatelya:420 | dvigatel-i-transmissiya/ohlazhdenie:249 | tormoznaya-sistema/prochaya-tormoznaya-sistema:202 | aksessuary/instrumenty:115 | kuzov-i-optika/kuzovnye-detali:63 | dvigatel-i-transmissiya/sceplenie:40 | podveska/ressory:37 | dvigatel-i-transmissiya/nasosy:30,0,0,33,Г-00595 Патрубок КАМАЗ-ЕВРО прием. ТКР корот. пр. (завод) | ДВ-00603 Трубка пластмассовая Лада-Гранта 2190 | ЗЧМ-00235 Трубки магистр. 2141 | КГ-00287 Насадка на шланг подкачки | Р-00043 Шланги воздушные прицепа | Р-00044 Шланг воздушный прицепа в сборе | Р-00075 Шланги воздушные | А-00339 Шланг-груша силиконовый
"Caps, covers and plugs without destination",31,0.0171,name_lacks_destination_context,10,21,заглушка:17 | крышка:6 | веста:5 | кр-:5 | пробка:5 | коробки:3 | бачка:2 | ваз:2 | зчм-:2 | кг-:2,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,0,0,31,ЗЧМ-00186 Крышка поддона Москвич | К-00422 Заглушка воздуховода 2110 | К-00457 Заглушка под мовиль (пластмасса) | А-00460 Заглушка бокса 2107 нижняя | А-00689 Заглушка радиобокса 2107 | А-01561 Заглушка-удлинитель ремня | А-02301 Заглушка-переходник ремня (с логотипом) 1 шт | ДВ-00432 Заглушка вместо трамб. 2108
Personal/non-catalog accessories,18,0.0099,no_allowed_target_current_taxonomy,0,18,перчатки:5 | собака:4 | зимние:2 | нержавейка:2 | стаканы:2 | большая:1 | брелок:1 | бумажник:1 | водителя:1 | гербом:1,14,aksessuary/instrumenty:4 | aksessuary/chehly:2 | dvigatel-i-transmissiya/nasosy:2 | podveska/podshipniki:2 | aksessuary/avtohimiya:1 | aksessuary/prochie-aksessuary:1 | dvigatel-i-transmissiya/detali-dvigatelya:1 | elektrika/signalizatsii:1,0,0,18,"А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00404 Собака (очень большая) | А-00936 Стакан (нержавейка) | А-01033 Игрушка-корова на присоске | А-01280 Перчатки зимние п/шерсть черные с ПВХ | А-01287 Бумажник водителя BLACK натур. кожа | А-01528 Четки с иконкой"
Electrical/consumer devices without auto context,8,0.0044,technical_insufficient_data,0,8,usb:3 | разветвитель:2 | тепловентилятор:2 | автомобильный:1 | адаптер:1 | газовая:1 | двойной:1 | кото:1 | маленькая:1 | оригинал:1,27,elektrika/prochaya-elektrika:9 | aksessuary/prochie-aksessuary:6 | aksessuary/instrumenty:5 | elektrika/provodka:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/rulevye-nakonechniki:1,0,0,8,"А-00176 Адаптер ""Samsung"" USB (оригинал) | А-00543 ""КОТО"" Разветвитель двойной 201 | А-01460 Тепловентилятор автомобильный AVS Comfort ТЕ-310 12В (2 реж.) 150W | А-01522 KOTO EFB-211 Тепловентилятор | А-01560 Плитка газовая (маленькая) | А-01630 Разветвитель EPUTUS | А-01687 USB флешка 32 Гб | А-02382 ЗУ Eplutus-211 36W 2 USB"
